x,y,z,qw,qx,qy,qz
0.43455107998725534,-0.10193828515282374,0.010146651275034002,-0.9969807567096873,-0.013796990157850048,0.05070595769084129,0.05711637718951401
0.4345888014335644,-0.1019868152678329,0.009877115380858281,-0.9968742924039584,-0.012903718716347892,0.05328418918422488,0.056835686375832195
0.43459660222180324,-0.10199600946152974,0.009830555783571393,-0.9968621903498696,-0.011594528308383907,0.053468049383500776,0.05715653011446867
0.43456090832686134,-0.10196249892117781,0.009979726852333892,-0.9969179742878856,-0.014529146164460226,0.05161924679313298,0.05721250465953848
0.4346072169739529,-0.10200740423267422,0.009755909215487968,-0.9968076799261697,-0.011472197409865471,0.054847624558100216,0.05682373520426587
0.43455426217781057,-0.1019498741447313,0.010072536113457486,-0.9969014366011586,-0.014700863325202523,0.05218648802870461,0.05694156357798849
0.4346296957589918,-0.10205063201807159,0.009587972902760311,-0.9967256428351214,-0.012807664469793562,0.05575437994135482,0.05709436608401253
0.43455966034652316,-0.10193471749702102,0.010110327546054787,-0.9969405627071917,-0.013941542240518454,0.051449087184715456,0.057118299452276866
0.4345547774090503,-0.10194596509533616,0.010081073260096496,-0.9970498945346381,-0.013419480029121526,0.0497648381803075,0.05682646496605839
0.4345503241955197,-0.10192646905985456,0.010130759611458429,-0.9969493120759438,-0.014759129927283602,0.05101273489588765,0.05715154406462036
